"","AGE1","PRDTRACE","PRDASIAN","A_MJOCC","PEIO1COW","PH_SEQ","GEDIV","GEREG","GESTFIPS","HEFAMINC","H_TYPEBC","H_YEAR","H_MONTH"
"42194",1,2,-1,0,0,22914,3,2,26,1,0,2019,3
"42195",0,2,-1,0,0,22914,3,2,26,1,0,2019,3
"42196",9,2,-1,0,0,22914,3,2,26,1,0,2019,3
"42197",9,2,-1,9,4,22917,3,2,26,13,0,2019,3
"42198",0,2,-1,0,0,22917,3,2,26,13,0,2019,3
"42199",7,1,-1,10,4,22925,3,2,26,14,0,2019,3
"42200",6,1,-1,5,4,22925,3,2,26,14,0,2019,3
"42201",0,1,-1,0,0,22925,3,2,26,14,0,2019,3
"42202",0,1,-1,0,0,22925,3,2,26,14,0,2019,3
"42203",0,1,-1,0,0,22925,3,2,26,14,0,2019,3
"42204",12,2,-1,0,0,22935,3,2,26,12,0,2019,3
"42205",15,1,-1,0,0,22939,3,2,26,12,0,2019,3
"42206",10,4,7,3,4,22939,3,2,26,12,0,2019,3
"42207",0,8,-1,0,0,22939,3,2,26,12,0,2019,3
"42208",16,1,-1,0,0,22950,3,2,26,2,0,2019,3
"42209",11,1,-1,10,4,22951,3,2,26,13,0,2019,3
"42210",12,1,-1,5,4,22951,3,2,26,13,0,2019,3
"42211",2,1,-1,0,0,22951,3,2,26,13,0,2019,3
"42212",8,1,-1,0,0,22951,3,2,26,13,0,2019,3
"42213",8,2,-1,2,3,22952,3,2,26,12,0,2019,3
"42214",9,1,-1,1,4,22953,3,2,26,16,0,2019,3
"42215",9,1,-1,2,4,22953,3,2,26,16,0,2019,3
"42216",2,1,-1,3,4,22953,3,2,26,16,0,2019,3
"42217",0,1,-1,0,0,22953,3,2,26,16,0,2019,3
"42218",10,1,-1,5,4,22955,3,2,26,16,0,2019,3
"42219",10,1,-1,1,4,22955,3,2,26,16,0,2019,3
"42220",0,1,-1,0,0,22955,3,2,26,16,0,2019,3
"42221",0,1,-1,0,0,22955,3,2,26,16,0,2019,3
"42222",7,4,2,0,0,22956,3,2,26,16,0,2019,3
"42223",8,1,-1,1,4,22956,3,2,26,16,0,2019,3
"42224",0,1,-1,0,0,22956,3,2,26,16,0,2019,3
"42225",0,1,-1,0,0,22956,3,2,26,16,0,2019,3
"42226",8,1,-1,5,4,22957,3,2,26,14,0,2019,3
"42227",8,1,-1,5,4,22957,3,2,26,14,0,2019,3
"42228",0,1,-1,0,0,22957,3,2,26,14,0,2019,3
"42229",9,1,-1,0,0,22958,3,2,26,13,0,2019,3
"42230",9,1,-1,2,5,22958,3,2,26,13,0,2019,3
"42231",2,1,-1,0,0,22958,3,2,26,13,0,2019,3
"42232",0,1,-1,0,0,22958,3,2,26,13,0,2019,3
"42233",0,1,-1,0,0,22958,3,2,26,13,0,2019,3
"42234",4,1,-1,3,4,22959,3,2,26,15,0,2019,3
"42235",3,1,-1,0,0,22959,3,2,26,15,0,2019,3
"42236",9,1,-1,3,4,22959,3,2,26,15,0,2019,3
"42237",1,1,-1,0,0,22959,3,2,26,15,0,2019,3
"42238",9,1,-1,1,4,22960,3,2,26,14,0,2019,3
"42239",9,1,-1,2,4,22960,3,2,26,14,0,2019,3
"42240",0,1,-1,0,0,22960,3,2,26,14,0,2019,3
"42241",0,1,-1,0,0,22960,3,2,26,14,0,2019,3
"42242",15,2,-1,0,0,22961,3,2,26,13,0,2019,3
"42243",13,2,-1,0,0,22961,3,2,26,13,0,2019,3
"42244",11,1,-1,4,4,22963,3,2,26,7,0,2019,3
"42245",0,1,-1,0,0,22963,3,2,26,7,0,2019,3
"42246",13,2,-1,0,0,22964,3,2,26,7,0,2019,3
"42247",5,2,-1,1,4,22964,3,2,26,7,0,2019,3
"42248",7,2,-1,3,4,22967,3,2,26,5,0,2019,3
"42249",0,2,-1,0,0,22967,3,2,26,5,0,2019,3
"42250",0,2,-1,0,0,22967,3,2,26,5,0,2019,3
"42251",0,2,-1,0,0,22967,3,2,26,5,0,2019,3
"42252",0,2,-1,0,0,22967,3,2,26,5,0,2019,3
"42253",17,2,-1,0,0,22968,3,2,26,6,0,2019,3
"42254",16,2,-1,0,0,22969,3,2,26,1,0,2019,3
"42255",10,2,-1,2,3,22970,3,2,26,3,0,2019,3
"42256",2,2,-1,0,0,22970,3,2,26,3,0,2019,3
"42257",0,2,-1,0,0,22970,3,2,26,3,0,2019,3
"42258",17,2,-1,0,0,22971,3,2,26,9,0,2019,3
"42259",7,2,-1,0,0,22973,3,2,26,5,0,2019,3
"42260",0,2,-1,0,0,22973,3,2,26,5,0,2019,3
"42261",0,2,-1,0,0,22973,3,2,26,5,0,2019,3
"42262",0,2,-1,0,0,22973,3,2,26,5,0,2019,3
"42263",7,2,-1,9,4,22977,3,2,26,11,0,2019,3
"42264",0,2,-1,0,0,22977,3,2,26,11,0,2019,3
"42265",0,2,-1,0,0,22977,3,2,26,11,0,2019,3
"42266",8,2,-1,3,4,22977,3,2,26,11,0,2019,3
"42267",0,2,-1,0,0,22977,3,2,26,11,0,2019,3
"42268",17,2,-1,0,0,22979,3,2,26,14,0,2019,3
"42269",12,2,-1,3,4,22979,3,2,26,14,0,2019,3
"42270",11,2,-1,10,4,22979,3,2,26,14,0,2019,3
"42271",16,2,-1,0,0,22980,3,2,26,11,0,2019,3
"42272",15,2,-1,0,0,22981,3,2,26,1,0,2019,3
"42273",7,2,-1,4,4,22982,3,2,26,9,0,2019,3
"42274",0,2,-1,0,0,22982,3,2,26,9,0,2019,3
"42275",0,2,-1,0,0,22982,3,2,26,9,0,2019,3
"42276",12,1,-1,4,4,22983,3,2,26,13,0,2019,3
"42277",11,1,-1,0,0,22983,3,2,26,13,0,2019,3
"42278",0,1,-1,0,0,22983,3,2,26,13,0,2019,3
"42279",0,1,-1,0,0,22983,3,2,26,13,0,2019,3
"42280",12,2,-1,0,0,22984,3,2,26,7,0,2019,3
